"month_period","month_first_prize_number","month_three_front_number","month_three_tail_number","month_two_tail_number","month_beside_first_prize_number","month_other_prize_list","month_other_prize_number_list"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","744880"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","954832"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","249499"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","422823"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","577587"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","766418"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","956207"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","254538"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","425098"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","591793"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","778236"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","986376"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 2","071298"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 2","283972"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 2","301191"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 2","622808"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 2","838934"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 3","183523"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 3","310680"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 3","669274"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 3","777521"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 3","810362"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 3","304732"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 3","454913"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 3","757539"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 3","797960"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 3","895221"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 4","002450"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 4","276722"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 4","438545"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 4","649025"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 4","772364"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 4","018290"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 4","289691"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 4","458841"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 4","663185"
"ตรวจสลากกินแบ่งรัฐบาล งวด 1 กันยายน 2563","999997","636 725","342 957","98","999996 999998","รางวัลที่ 4","793413"
