"month_period","month_first_prize_number","month_three_front_number","month_three_tail_number","month_two_tail_number","month_beside_first_prize_number","month_other_prize_list","month_other_prize_number_list"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","112743"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","308159"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","524945"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","669930"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","918568"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","121533"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","317944"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","535715"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","672058"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","932031"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","121772"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","323387"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","560083"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","678490"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","934567"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","126695"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","342009"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","567905"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","684129"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","949147"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","142942"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","356007"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","582101"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","691184"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","949955"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","151963"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","359391"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","590824"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","694987"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","972277"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","164820"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","373745"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","614370"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","705458"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","982808"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","165155"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","391268"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","615429"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","712416"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","986075"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","183803"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","394594"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 5","616666"
